SpT   Teff   logT   BCv     Mv    logL   B-V       Bt-Vt       V-Rc   V-Ic    V-Ks    J-H     H-K     log(g)_x10       met     model
B4    16700  4.223  -1.49  -0.80  2.81  -0.165     -0.183     0.074 -0.176  -0.447  -0.092  -0.016    40              0       ATLAS9
B5    15700  4.196  -1.33  -0.70  2.71  -0.156     -0.172     0.070 -0.165  -0.417  -0.089  -0.013    40              0       ATLAS9
B6    14500  4.161  -1.12  -0.50  2.54  -0.140     -0.153     0.062 -0.145  -0.358  -0.081  -0.007    40              0       ATLAS9
B7    14000  4.146  -1.03  -0.40  2.47  -0.128     -0.139     0.058 -0.133  -0.325  -0.077  -0.004    40              0       ATLAS9
B8    12500  4.097  -0.75  -0.20  2.24  -0.109     -0.117     0.048 -0.108  -0.254  -0.067   0.003    40              0       ATLAS9
B9    10700  4.029  -0.40   0.50  1.86  -0.070     -0.072     0.028 -0.061  -0.121  -0.050   0.016    40              0       ATLAS9
A0    9700   3.987  -0.20   1.11  1.54   0.000     0.0067     0.001  0.004   0.041  -0.032   0.028    40              0       ATLAS9
A1    9200   3.965  -0.11   1.34  1.41   0.043     0.0543     0.019  0.044   0.101  -0.024   0.031    40              0       NextGen
A2    8840   3.946  -0.06   1.48  1.33   0.074     0.0882     0.042  0.091   0.188  -0.010   0.034    40              0       NextGen
A3    8550   3.932  -0.02   1.55  1.29   0.090     0.1056     0.050  0.108   0.228  -0.002   0.034    40              0       NextGen
A4    8270   3.917   0.00   1.76  1.20   0.140     0.1593     0.078  0.164   0.353   0.022   0.037    40              0       NextGen
A5    8080   3.907   0.01   1.84  1.16   0.160     0.1805     0.089  0.186   0.403   0.031   0.038    40              0       NextGen
A6    8000   3.903   0.02   1.89  1.14   0.170     0.1910     0.094  0.197   0.428   0.036   0.038    40              0       NextGen
A7    7800   3.892   0.04   2.07  1.06   0.210     0.2329     0.117  0.242   0.528   0.055   0.040    40              0       NextGen
A8    7500   3.874   0.04   2.29  0.97   0.250     0.2743     0.140  0.288   0.626   0.075   0.042    40              0       NextGen
A9    7440   3.872   0.04   2.30  0.97   0.255     0.2794     0.143  0.294   0.638   0.078   0.043    40              0       NextGen
F0    7200   3.857   0.03   2.51  0.89   0.294     0.3192     0.166  0.339   0.732   0.098   0.045    40              0       NextGen
F1    7030   3.847   0.03   2.79  0.77   0.334     0.3595     0.190  0.385   0.828   0.119   0.047    40              0       NextGen
F2    6810   3.833   0.02   2.99  0.70   0.374     0.3994     0.213  0.432   0.925   0.140   0.050    40              0       NextGen
F3    6720   3.827   0.01   3.08  0.67   0.389     0.4142     0.222  0.449   0.961   0.147   0.051    40              0       NextGen
F4    6640   3.822   0.00   3.23  0.61   0.412     0.4368     0.236  0.476   1.017   0.159   0.052    40              0       NextGen
F5    6510   3.814   0.00   3.40  0.54   0.438     0.4622     0.252  0.506   1.079   0.173   0.054    40              0       NextGen
F6    6340   3.802  -0.01   3.70  0.43   0.484     0.5148     0.276  0.553   1.185   0.199   0.057    40              0       NextGen
F7    6240   3.795  -0.02   3.87  0.36   0.510     0.5444     0.290  0.579   1.244   0.213   0.060    40              0       NextGen
F8    6150   3.789  -0.03   4.01  0.31   0.530     0.5673     0.300  0.599   1.290   0.225   0.061    45              0       NextGen
F9    6040   3.781  -0.04   4.15  0.26   0.552     0.5926     0.312  0.620   1.340   0.237   0.063    45              0       NextGen
G0    5920   3.772  -0.05   4.39  0.17   0.588     0.6343     0.331  0.656   1.421   0.258   0.066    45              0       NextGen
G1    5880   3.769  -0.06   4.50  0.13   0.604     0.6529     0.340  0.672   1.458   0.267   0.068    45              0       NextGen
G2    5770   3.761  -0.07   4.79  0.01   0.650     0.7069     0.363  0.713   1.564   0.293   0.073    45              0       NextGen
G3    5720   3.757  -0.08   4.86 -0.01   0.661     0.7199     0.368  0.722   1.590   0.299   0.074    45              0       NextGen
G4    5680   3.754  -0.09   4.94 -0.04   0.674     0.7353     0.374  0.733   1.621   0.307   0.075    45              0       NextGen
G5    5660   3.753  -0.09   4.98 -0.05   0.680     0.7424     0.377  0.738   1.635   0.310   0.076    45              0       NextGen
