# lambda: Angstroms, f_lambda: erg/s/cm^2/Angstrom,                          Teff=8878.4K,rad=2.271Rsol.
lambda	 f_lambda
2.000000000000000227e+03	3.828687579526555152e-11
2.001981876910865367e+03	3.614283510260950513e-11
2.003965717739773254e+03	2.332299051100367435e-11
2.005951524432849965e+03	3.818286598358993639e-11
2.007939298938141974e+03	3.689578207737761325e-11
2.009929043205634116e+03	3.864558190122333156e-11
2.011920759187235262e+03	3.813469571569058366e-11
2.013914448836796964e+03	1.909176436143024778e-11
2.015910114110098448e+03	3.395993055101949868e-11
2.017907756964865484e+03	3.627579616124305300e-11
2.019907379360755613e+03	3.877126081781808733e-11
2.021908983259376100e+03	2.301883387654870000e-12
2.023912570624270074e+03	3.372349876341469124e-11
2.025918143420935166e+03	3.367755840702128960e-11
2.027925703616809415e+03	3.789562446912341953e-11
2.029935253181281269e+03	3.477966340388246389e-11
2.031946794085696865e+03	3.848099696173927089e-11
2.033960328303347069e+03	7.636711934005347289e-12
2.035975857809487024e+03	3.440934457688401480e-11
2.037993384581320697e+03	1.309792337467740877e-11
2.040012910598019289e+03	3.531725277306022468e-11
2.042034437840707596e+03	3.666824872609162381e-11
2.044057968292481519e+03	2.763526976175211513e-12
2.046083503938393733e+03	2.026745795849193571e-12
2.048111046765472565e+03	3.354076777536544843e-11
2.050140598762706304e+03	3.587823052676553481e-11
2.052172161921063889e+03	3.632201271407052214e-11
2.054205738233479678e+03	3.578876454659035431e-11
2.056241329694863452e+03	1.934870307096795162e-11
2.058278938302107690e+03	1.186144938683423892e-12
2.060318566054075745e+03	3.762200407796494749e-11
2.062360214951620492e+03	3.537591674281625457e-11
2.064403886997567952e+03	3.521380346044709447e-11
2.066449584196738215e+03	2.565835599847649108e-11
2.068497308555929521e+03	2.261895489529915789e-11
2.070547062083935998e+03	3.736987172223831411e-11
2.072598846791535834e+03	3.495942096126886711e-11
2.074652664691506743e+03	3.434387128445388022e-11
2.076708517798613229e+03	2.024178722486242260e-11
2.078766408129623869e+03	1.257614897933718512e-11
2.080826337703300851e+03	3.658303473090457452e-11
2.082888308540405887e+03	3.470961922649881052e-11
2.084952322663709310e+03	2.841059520465071615e-11
2.087018382097978247e+03	2.911703486444238402e-11
2.089086488869993445e+03	3.710458828892822845e-11
2.091156645008537453e+03	3.722038070684992645e-11
2.093228852544409619e+03	1.995273574744988662e-11
2.095303113510414732e+03	2.595348199736665612e-11
2.097379429941379385e+03	3.722070259909963996e-11
2.099457803874139245e+03	1.826400709207398747e-11
2.101538237347556333e+03	3.016862089646077816e-11
2.103620732402503563e+03	3.582737666383017231e-11
2.105705291081886571e+03	2.529304096534342809e-11
2.107791915430625068e+03	3.312461048509061880e-11
2.109880607495675122e+03	3.760125077124882033e-11
2.111971369326014155e+03	3.804250604681931220e-11
2.114064202972649582e+03	3.090850497144772482e-11
2.116159110488628357e+03	3.080029379200218573e-11
2.118256093929023336e+03	2.428154861952419085e-11
2.120355155350951918e+03	3.721317746085773803e-11
2.122456296813561494e+03	2.368796679866300174e-11
2.124559520378049001e+03	7.854338108359274767e-12
2.126664828107645008e+03	2.352855315543789034e-11
2.128772222067632356e+03	3.028857198459032554e-11
2.130881704325333885e+03	2.697146807058344368e-11
2.132993276950127438e+03	3.992979556366187940e-12
2.135106942013434036e+03	6.465830555690564023e-12
2.137222701588736072e+03	8.762610209397477845e-12
2.139340557751563665e+03	5.753682443103173208e-12
2.141460512579504211e+03	1.564968953833304627e-11
2.143582568152209660e+03	3.055425217151385724e-11
2.145706726551384236e+03	3.564168033503297607e-11
2.147832989860803991e+03	3.733159630075164471e-11
2.149961360166301802e+03	3.691499467956053134e-11
2.152091839555784645e+03	3.365350434692826805e-11
2.154224430119220870e+03	2.565554768985272375e-11
2.156359133948657927e+03	3.599972201333771824e-11
2.158495953138208733e+03	3.545456107078196185e-11
2.160634889784068946e+03	3.119739159555428501e-11
2.162775945984502869e+03	2.824202566706767851e-11
2.164919123839863460e+03	2.504603063141024789e-11
2.167064425452577780e+03	2.751691641203759371e-11
2.169211852927156087e+03	3.083002245524697155e-11
2.171361408370201843e+03	1.759830242605114060e-11
2.173513093890395794e+03	1.047542093373085212e-11
2.175666911598517800e+03	2.692686418406791356e-11
2.177822863607430918e+03	2.550631424628658693e-11
2.179980952032099594e+03	6.625628439088930974e-12
2.182141178989576474e+03	3.679932367464476758e-11
2.184303546599020137e+03	3.576519318498215513e-11
2.186468056981680547e+03	2.477609246610753489e-11
2.188634712260918604e+03	1.171426549158319104e-11
2.190803514562190230e+03	3.607800099493887859e-11
2.192974466013066376e+03	3.245750510055607328e-11
2.195147568743220290e+03	3.190341335261038368e-11
2.197322824884435249e+03	2.805983161907720277e-11
2.199500236570612742e+03	3.587707203817693736e-11
2.201679805937761103e+03	3.203704420158280341e-11
2.203861535124014154e+03	3.618556016087835971e-11
2.206045426269614836e+03	2.977191305891653713e-11
2.208231481516936583e+03	3.443739814472033718e-11
2.210419703010466037e+03	3.446948679383165535e-11
2.212610092896824881e+03	3.058479860525695604e-11
2.214802653324752555e+03	3.137262293869328855e-11
2.216997386445125812e+03	2.778180648986370206e-11
2.219194294410945531e+03	2.421408475804083257e-11
2.221393379377353995e+03	3.036652880872278149e-11
2.223594643501622159e+03	3.536215407736050029e-11
2.225798088943159200e+03	1.432013165472967216e-11
2.228003717863521160e+03	3.583563035397795867e-11
2.230211532426396843e+03	3.622598265297700345e-11
