SpT	Teff	logT	logL	Mbol	BCv	Mv	B-V	Bt-Vt	G-V	Bp-Rp	G-Rp	M_G	b-y	U-B	V-Rc	V-Ic	V-Ks	J-H	H-Ks	Ks-W1	W1-W2	W1-W3	W1-W4	M_J	M_Ks	R_Rsun	Msun	H-K	log(g)_x10	met	model
B4	16700	4.223	2.91	-2.52	-1.53	-1	-0.165	-0.17					-0.078	-0.619	-0.074	-0.176	-0.447	-0.092	-0.016	0.036				-0.66	-0.55	3.41	5	-0.016	40	0	ATLAS9
B5	15700	4.196	2.8	-2.25	-1.35	-0.9	-0.156	-0.16					-0.072	-0.581	-0.07	-0.165	-0.417	-0.089	-0.013	0.036	-0.045	-0.117	-0.07	-0.59	-0.48	3.4	4.6	-0.013	40	0	ATLAS9
B6	14500	4.161	2.54	-1.66	-1.16	-0.5	-0.14	-0.142					-0.066	-0.504	-0.062	-0.145	-0.358	-0.081	-0.007	0.035	-0.045	-0.117	-0.07	-0.23	-0.14	2.95	4	-0.007	40	0	ATLAS9
B7	14000	4.146	2.49	-1.47	-1.07	-0.4	-0.128	-0.129					-0.062	-0.459	-0.058	-0.133	-0.325	-0.077	-0.004	0.035	-0.045	-0.117	-0.07	-0.16	-0.08	2.99	3.9	-0.004	40	0	ATLAS9
B8	12500	4.097	2.27	-0.91	-0.81	-0.2	-0.109	-0.107					-0.045	-0.364	-0.048	-0.108	-0.254	-0.067	0.003	0.034	-0.046	-0.116	-0.067	-0.01	0.05	2.91	3.4	0.003	40	0	ATLAS9
B9	10700	4.029	1.79	0.28	-0.42	0.7	-0.07	-0.063	0.017	-0.12	-0.036	0.72	-0.029	-0.2	-0.028	-0.061	-0.121	-0.05	0.016	0.032	-0.063	-0.104	-0.054	0.79	0.82	2.28	2.8	0.016	40	0	ATLAS9
A0	9700	3.987	1.54	0.87	-0.24	1.11	0	0.013	0.007	-0.037	0.01	1.09	0	-0.005	0.001	0.004	0.041	-0.032	0.028	0.03	-0.041	-0.074	-0.022	1.07	1.07	2.09	2.3	0.028	40	0	ATLAS9
A1	9200	3.965	1.41	1.19	-0.15	1.34	0.04	0.056	0	0.011	0.036	1.32	0.017	0.033	0.019	0.044	0.101	-0.024	0.031	0.03	-0.036	-0.068	-0.023	1.25	1.24	2	2.15	0.031	40	0	NextGen
A2	8840	3.946	1.33	1.38	-0.1	1.48	0.07	0.091	-0.005	0.068	0.069	1.46	0.038	0.063	0.042	0.091	0.188	-0.01	0.034	0.029	-0.034	-0.067	-0.029	1.32	1.29	1.97	2.05	0.034	40	0	NextGen
A3	8550	3.932	1.29	1.49	-0.06	1.55	0.09	0.109	-0.009	0.096	0.084	1.52	0.055	0.077	0.05	0.108	0.228	-0.002	0.034	0.029	-0.033	-0.066	-0.029	1.35	1.32	2.01	2	0.034	40	0	NextGen
A4	8270	3.917	1.2	1.72	-0.04	1.76	0.14	0.166	-0.02	0.166	0.122	1.73	0.071	0.097	0.078	0.164	0.353	0.022	0.037	0.029	-0.031	-0.059	-0.021	1.47	1.41	1.94	1.9	0.037	40	0	NextGen
A5	8080	3.907	1.16	1.81	-0.03	1.84	0.16	0.185	-0.024	0.194	0.137	1.81	0.09	0.1	0.089	0.186	0.403	0.031	0.038	0.029	-0.03	-0.058	-0.021	1.51	1.44	1.94	1.85	0.038	40	0	NextGen
A6	8000	3.903	1.14	1.87	-0.02	1.89	0.17	0.194	-0.026	0.208	0.145	1.86	0.099	0.098	0.094	0.197	0.428	0.036	0.038	0.029	-0.03	-0.057	-0.018	1.54	1.46	1.93	1.83	0.038	40	0	NextGen
A7	7800	3.892	1.06	2.07	0	2.07	0.21	0.233	-0.036	0.263	0.174	2.03	0.107	0.091	0.117	0.242	0.528	0.055	0.04	0.029	-0.03	-0.056	-0.017	1.64	1.54	1.86	1.76	0.04	40	0	NextGen
A8	7500	3.874	0.97	2.29	0	2.29	0.25	0.274	-0.046	0.32	0.204	2.25	0.132	0.082	0.14	0.288	0.626	0.075	0.042	0.028	-0.028	-0.055	-0.009	1.78	1.66	1.81	1.67	0.042	40	0	NextGen
A9	7440	3.872	0.97	2.3	0	2.3	0.255	0.279	-0.047	0.327	0.208	2.26	0.145	0.08	0.143	0.294	0.638	0.078	0.043	0.028	-0.028	-0.055	-0.007	1.78	1.66	1.84	1.67	0.043	40	0	NextGen
F0	7220	3.857	0.89	2.5	-0.01	2.51	0.29	0.317	-0.06	0.377	0.23	2.46	0.158	0.053	0.166	0.339	0.732	0.098	0.045	0.028	-0.026	-0.05	0.003	1.9	1.76	1.79	1.59	0.045	40	0	NextGen
F1	7030	3.847	0.77	2.78	-0.01	2.79	0.33	0.35	-0.079	0.434	0.252	2.73	0.204	0.021	0.19	0.385	0.828	0.119	0.047	0.028	-0.026	-0.047	0.009	2.13	1.96	1.64	1.5	0.047	40	0	NextGen
F2	6810	3.833	0.7	2.97	-0.02	2.99	0.37	0.39	-0.093	0.49	0.279	2.92	0.25	-0.008	0.213	0.432	0.925	0.14	0.05	0.028	-0.027	-0.046	0.011	2.26	2.07	1.61	1.44	0.05	40	0	NextGen
F3	6720	3.827	0.67	3.05	-0.03	3.08	0.39	0.405	-0.1	0.518	0.293	3.01	0.263	-0.016	0.222	0.449	0.961	0.147	0.051	0.028	-0.028	-0.046	0.008	2.32	2.12	1.6	1.43	0.051	40	0	NextGen
F4	6640	3.822	0.61	3.19	-0.04	3.23	0.41	0.428	-0.107	0.546	0.307	3.16	0.277	-0.026	0.236	0.476	1.017	0.159	0.052	0.028	-0.029	-0.046	0	2.42	2.21	1.53	1.39	0.052	40	0	NextGen
F5	6510	3.814	0.54	3.36	-0.04	3.4	0.44	0.455	-0.116	0.587	0.329	3.32	0.29	-0.029	0.252	0.506	1.079	0.173	0.054	0.028	-0.03	-0.045	-0.004	2.55	2.32	1.46	1.33	0.054	40	0	NextGen
F6	6340	3.802	0.43	3.65	-0.05	3.7	0.484	0.504	-0.129	0.64	0.356	3.61	0.317	-0.021	0.276	0.553	1.185	0.199	0.057	0.028	-0.033	-0.045	-0.012	2.78	2.52	1.36	1.25	0.057	40	0	NextGen
F7	6240	3.795	0.36	3.81	-0.06	3.87	0.51	0.534	-0.135	0.67	0.372	3.77	0.332	-0.012	0.29	0.579	1.244	0.213	0.06	0.027	-0.036	-0.045	-0.013	2.9	2.63	1.3	1.21	0.06	40	0	NextGen
F8	6170	3.79	0.31	3.96	-0.07	4.01	0.53	0.558	-0.14	0.694	0.385	3.9	0.35	0.001	0.3	0.599	1.29	0.225	0.061	0.027	-0.039	-0.044	-0.016	3.01	2.72	1.25	1.18	0.061	45	0	NextGen
F9	6060	3.782	0.26	4.07	-0.08	4.15	0.552	0.587	-0.146	0.719	0.399	4.04	0.378	0.014	0.312	0.62	1.34	0.237	0.063	0.027	-0.041	-0.044	-0.014	3.11	2.81	1.23	1.14	0.063	45	0	NextGen
